rowID,host_Arctos_record,ID_number,ID_type,other_identifier,other_identifier_type,pers_cat_no,sci_name,common_name,state,county,specific_locality,analysis_locality,verbatim_latitude,verbatim_longitude,analysis_lat,analysis_lon,verbatim_elev,coll_date,coll_day,coll_month,coll_year,collecting_event_ID,tissue_type,PCR_pos_01,Haem_01,Plas_01,H_haplo1,H_haplo2,H_haplo3,P_haplo1,H_count,P_count,haplotype_count,coinfection_01,novel_01,novel_count,novel_haplo_name,micro_pos_01,micro_num_infected_HP,micro_num_infected_total,micro_num_screened,micro_HP_parasitemia_percent,micro_total_parasitemia_percent,rgbif_elev,analysis_elev,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,tempPC1,tempPC2,precipPC1,precipPC2
208,NA,272132602,band number,055M,GRVI ID ,NA,Vireo vicinior,Gray Vireo,New Mexico,Socorro,Montoso,Sepultura Flats,34.27036,-106.62076,34.27036,-106.62076,NA,6/29/2017,29,6,2017,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,NA,NA,NA,NA,NA,NA,1804,1804,117,179,46,7657,317,-71,388,207,71,217,20,310,62,13,64,158,41,136,46,0.163831994,-0.832959628,-0.521019562,-0.12608205
209,https://arctos.database.museum/guid/MSB:Bird:60502,279609,NK,MSB:Bird:60502,MSB:Bird,ABJ 3852,Vireo bellii,Bell's Vireo,New Mexico,Socorro,Sevilleta National Wildlife Refuge,Sevilleta NWR,34.29771667,-106.8485667,34.29771667,-106.8485667,1428,6/2/2018,2,6,2018,11313893,pectoral muscle,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1429,1428,132,197,47,7927,342,-72,414,225,51,234,30,220,46,8,66,114,24,95,28,0.706040799,-0.172829967,-2.557382534,-0.056739214
210,https://arctos.database.museum/guid/MSB:Bird:60499,279612,NK,MSB:Bird:60499,MSB:Bird,ABJ 3854,Vireo bellii,Bell's Vireo,New Mexico,Socorro,Sevilleta National Wildlife Refuge,Sevilleta NWR,34.27911667,-106.8476333,34.27911667,-106.8476333,1416,5/25/2018,25,5,2018,11313890,pectoral muscle,1,1,0,VIRBEL01,NA,NA,NA,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,1427,1416,133,196,47,7909,341,-70,411,226,52,234,31,224,47,8,68,117,24,97,29,0.766902723,-0.228339297,-2.479106811,-0.171288049
211,https://arctos.database.museum/guid/MSB:Bird:60500,279617,NK,MSB:Bird:60500,MSB:Bird,MJB 446,Vireo bellii,Bell's Vireo,New Mexico,Socorro,Sevilleta National Wildlife Refuge,Sevilleta NWR,34.27731667,-106.8504333,34.27731667,-106.8504333,1422,5/25/2018,25,5,2018,11313891,pectoral muscle,1,1,0,VIGIL07,NA,NA,NA,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,1429,1422,133,196,47,7909,341,-70,411,226,52,234,31,224,47,8,68,117,24,97,29,0.766902723,-0.228339297,-2.479106811,-0.171288049
212,https://arctos.database.museum/guid/MSB:Bird:60496,279618,NK,MSB:Bird:60496,MSB:Bird,CRG 513,Vireo bellii,Bell's Vireo,New Mexico,Eddy ,Sheep Draw,Sheep Draw,32.36131667,-104.2943,32.36131667,-104.2943,998,5/25/2018,25,5,2018,11313887,pectoral muscle,1,1,0,VIRBEL01,NA,NA,NA,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,995,998,170,165,44,7574,350,-18,368,254,91,266,72,329,64,7,65,159,29,135,34,2.910390859,-0.1001083,-1.021863648,-0.810934317
213,NA,272132610,band number,051JA,GRVI ID ,NA,Vireo vicinior,Gray Vireo,New Mexico,Socorro,Tomasino,Tomasino,34.21425,-106.71407,34.21425,-106.71407,NA,7/3/2017,3,7,2017,NA,whole blood,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1675,1675,125,186,46,7740,327,-70,397,216,45,225,26,270,55,11,65,139,33,118,37,0.398159294,-0.498126533,-1.420802313,-0.109963101
214,NA,272132611,band number,051JB,GRVI ID ,NA,Vireo vicinior,Gray Vireo,New Mexico,Socorro,Tomasino,Tomasino,34.21425,-106.71407,34.21425,-106.71407,NA,7/3/2017,3,7,2017,NA,whole blood,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1675,1675,125,186,46,7740,327,-70,397,216,45,225,26,270,55,11,65,139,33,118,37,0.398159294,-0.498126533,-1.420802313,-0.109963101
215,NA,272132612,band number,051JC,GRVI ID ,NA,Vireo vicinior,Gray Vireo,New Mexico,Socorro,Tomasino,Tomasino,34.21425,-106.71407,34.21425,-106.71407,NA,7/3/2017,3,7,2017,NA,whole blood,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1675,1675,125,186,46,7740,327,-70,397,216,45,225,26,270,55,11,65,139,33,118,37,0.398159294,-0.498126533,-1.420802313,-0.109963101
216,NA,272132613,band number,051JD,GRVI ID ,NA,Vireo vicinior,Gray Vireo,New Mexico,Socorro,Tomasino,Tomasino,34.21425,-106.71407,34.21425,-106.71407,NA,7/3/2017,3,7,2017,NA,whole blood,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1675,1675,125,186,46,7740,327,-70,397,216,45,225,26,270,55,11,65,139,33,118,37,0.398159294,-0.498126533,-1.420802313,-0.109963101
217,NA,272132434,band number,038M,GRVI ID ,NA,Vireo vicinior,Gray Vireo,New Mexico,Socorro,Tomasino,Tomasino,NA,NA,34.2313,-106.6752,NA,5/17/2017,17,5,2017,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,NA,NA,NA,NA,NA,NA,1701,1701,123,184,46,7712,324,-70,394,213,42,222,24,278,57,11,65,144,34,122,39,0.292402023,-0.585553737,-1.245594641,-0.170668141
